0,vgg19,100,4,64
0,densenet121,200,2,64
0,vgg19,700,4,512
1,vgg19,800,4,64
1,densenet121,300,1,64
1,vgg19,600,1,512
2,densenet121,100,2,64
3,resnet152,80,2,64
3,vgg19,180,1,512
4,densenet121,300,4,64
5,vgg19,100,4,512
6,densenet121,200,2,512
7,resnet152,400,1,64
8,resnet152,100,2,512
9,densenet121,250,1,64
10,vgg19,150,4,512
11,vgg19,390,4,64
11,densenet121,78,4,512
12,densenet121,90,1,512
13,vgg19,200,4,64
14,resnet152,100,1,64
14,vgg19,70,4,512
15,densenet121,200,1,64
16,resnet152,140,1,64
17,vgg19,800,4,512
18,vgg19,1500,4,64
19,resnet152,400,4,512
19,densenet121,80,1,512
20,densenet121,200,2,64
21,vgg19,50,4,64
21,densenet121,80,4,64
22,vgg19,150,2,512
23,vgg19,390,4,512
24,densenet121,250,1,64
25,vgg19,250,4,512
